INFO buildroot.py:667:  Mock Version: 6.6
DEBUG util.py:461:  Model name:                              Neoverse-N1
DEBUG util.py:461:  Model:                                   1
DEBUG util.py:461:  Thread(s) per core:                      1
DEBUG util.py:461:  Core(s) per socket:                      64
DEBUG util.py:461:  Socket(s):                               1
DEBUG util.py:461:  Stepping:                                r3p1
DEBUG util.py:461:  BogoMIPS:                                243.75
DEBUG util.py:461:  Flags:                                   fp asimd evtstrm aes pmull sha1 sha2 crc32 atomics fphp asimdhp cpuid asimdrdm lrcpc dcpop asimddp
DEBUG util.py:461:  L1d cache:                               4 MiB (64 instances)
DEBUG util.py:461:  L1i cache:                               4 MiB (64 instances)
DEBUG util.py:461:  L2 cache:                                64 MiB (64 instances)
DEBUG util.py:461:  L3 cache:                                32 MiB (1 instance)
DEBUG util.py:461:  NUMA node(s):                            1
DEBUG util.py:461:  NUMA node0 CPU(s):                       0-63
DEBUG util.py:461:  Vulnerability Gather data sampling:      Not affected
DEBUG util.py:461:  Vulnerability Indirect target selection: Not affected
DEBUG util.py:461:  Vulnerability Itlb multihit:             Not affected
DEBUG util.py:461:  Vulnerability L1tf:                      Not affected
DEBUG util.py:461:  Vulnerability Mds:                       Not affected
DEBUG util.py:461:  Vulnerability Meltdown:                  Not affected
DEBUG util.py:461:  Vulnerability Mmio stale data:           Not affected
DEBUG util.py:461:  Vulnerability Reg file data sampling:    Not affected
DEBUG util.py:461:  Vulnerability Retbleed:                  Not affected
DEBUG util.py:461:  Vulnerability Spec rstack overflow:      Not affected
